[Wed Feb 24 19:40:37.387634 2016] [:error] [pid 2851] [client 192.168.1.5:58297] PHP Fatal error:  Call to undefined method CI_Input::trim() in /var/www/Quote/public_html/application/models/Validate.php on line 6, referer: http://quote.com/login
[Wed Feb 24 21:05:51.848863 2016] [:error] [pid 2850] [client 192.168.1.5:58857] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/models/User.php on line 17, referer: http://quote.com/
[Wed Feb 24 21:06:03.997224 2016] [:error] [pid 2849] [client 192.168.1.5:58859] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/models/User.php on line 19, referer: http://quote.com/
[Wed Feb 24 21:11:21.965606 2016] [:error] [pid 3188] [client 192.168.1.5:58918] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/models/User.php on line 17, referer: http://quote.com/
[Wed Feb 24 21:11:24.050482 2016] [:error] [pid 3188] [client 192.168.1.5:58918] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/models/User.php on line 17, referer: http://quote.com/
[Thu Feb 25 18:43:34.792446 2016] [:error] [pid 2852] [client 192.168.1.4:35933] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/controllers/Signup.php on line 34
[Fri Feb 26 23:53:04.968336 2016] [:error] [pid 2797] [client 192.168.1.4:47124] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in /var/www/Quote/public_html/application/controllers/Login.php on line 26, referer: http://quote.com/
[Fri Feb 26 23:53:37.012737 2016] [:error] [pid 3652] [client 192.168.1.4:47130] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/controllers/Login.php on line 27, referer: http://quote.com/
[Fri Feb 26 23:53:38.321218 2016] [:error] [pid 3652] [client 192.168.1.4:47130] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE), expecting function (T_FUNCTION) in /var/www/Quote/public_html/application/controllers/Login.php on line 27, referer: http://quote.com/
[Fri Feb 26 23:55:41.540597 2016] [:error] [pid 2799] [client 192.168.1.4:47137] PHP Parse error:  syntax error, unexpected '{' in /var/www/Quote/public_html/application/controllers/Login.php on line 31, referer: http://quote.com/
